Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp
1,8,64,2,16,2,2,0,18219.0
0,2,2,128,64,1,2,0,100.0
0,128,2,1,4,4,16,0,104.0
0,8,32,1,1,128,2,0,99.0
1,512,1,1,2,16,4,0,18211.0
1,1,2,128,8,1,32,0,18211.0
1,1,256,1,2,32,4,0,18211.0
1,1,1,1024,8,8,1,0,18207.0
1,4,128,2,2,8,4,0,18219.0
0,2,256,2,16,2,2,0,104.0
0,64,1,1,2,512,1,0,92.0
1,32,8,4,4,4,4,0,18219.0
1,16,2,32,16,2,2,0,18219.0
1,64,1,16,4,8,2,0,18219.0
0,4,8,4,64,8,1,0,100.0
0,2,1,1024,1,8,4,0,96.0
0,64,4,1,1,4,64,0,99.0
0,4,4,16,8,32,1,0,100.0
0,8,4,64,16,1,2,0,100.0
0,1,128,16,4,8,1,0,96.0
0,64,32,1,4,1,8,0,96.0
0,1,128,1,8,2,32,0,96.0
1,1,512,1,8,16,1,0,18207.0
0,2,4,32,32,2,4,0,104.0
0,16,1,16,1,4,64,0,96.0
0,32,4,8,32,2,1,0,100.0
1,4,4,8,256,1,2,0,18215.0
1,2,4,8,256,1,4,0,18215.0
0,4,32,8,8,2,4,0,104.0
1,2,4,16,4,4,32,0,18219.0
0,4,1,512,2,1,16,0,96.0
0,64,1,16,16,2,2,0,104.0
0,16,2,8,64,1,4,0,100.0
0,8,1,8,128,4,2,0,104.0
1,2,64,8,64,1,1,0,18211.0
1,2,16,16,2,2,32,0,18219.0
1,2,4,64,2,1,64,0,18215.0
1,1,128,2,8,8,4,0,18219.0
1,128,2,2,64,2,1,0,18215.0
0,1,32,16,4,2,16,0,104.0
0,8,16,16,2,2,8,0,104.0
0,2,32,1,256,4,1,0,96.0
0,32,4,2,1,128,2,0,100.0
0,2,16,64,2,16,1,0,100.0
0,8,2,8,2,8,32,0,104.0
0,4,8,8,4,16,4,0,104.0
0,16,4,1,1024,1,1,0,92.0
0,1,64,2,512,1,1,0,92.0
1,8,32,2,1,32,4,0,18215.0
0,2,32,4,8,8,4,0,104.0
1,8,2,8,256,1,2,0,18215.0
1,128,4,2,1,64,1,0,18211.0
0,128,2,8,1,16,2,0,100.0
0,1,1,256,32,1,8,0,92.0
1,1,256,1,8,2,16,0,18211.0
0,256,2,1,2,16,4,0,104.0
0,4,4,8,16,16,2,0,104.0
1,2,32,1,64,16,1,0,18211.0
1,4,2,32,16,16,1,0,18215.0
0,4,128,4,4,1,8,0,100.0
1,4,8,2,256,2,2,0,18219.0
1,2,16,4,1,32,16,0,18215.0
1,4,2,16,2,128,2,0,18219.0
0,8,32,1,128,2,1,0,96.0
1,256,8,1,2,1,16,0,18211.0
0,16,2,16,1,64,2,0,100.0
